NEGERI,PPD,PARLIMEN,DUN,PERINGKAT,JENIS/LABEL,KODSEKOLAH,NAMASEKOLAH,ALAMATSURAT,POSKODSURAT,BANDARSURAT,NOTELEFON,NOFAX,EMAIL,LOKASI,GRED,BANTUAN,BILSESI,SESI,ENROLMEN PRASEKOLAH,ENROLMEN,ENROLMEN KHAS,GURU,PRASEKOLAH,INTEGRASI,KOORDINATXX,KOORDINATYY,SKM<=150
PERAK,PPD BATANG PADANG, TAPAH, CHENDERIANG,Rendah,SK,ABA0011,SEKOLAH KEBANGSAAN SRI KINJANG,CHENDERIANG,35300,CHENDERIANG,TIADA,TIADA,ABA0011@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,7,169,,17,ADA,TIADA,101.2466694,4.298925082,
PERAK,PPD BATANG PADANG, TAPAH, CHENDERIANG,Rendah,SK,ABA0012,SEKOLAH KEBANGSAAN KAMPONG PAHANG,JALAN PAHANG,35000,TAPAH,54010396,54010396,ABA0012@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,25,166,,18,ADA,TIADA,101.2906353,4.224791585,
PERAK,PPD BATANG PADANG, TAPAH, CHENDERIANG,Rendah,SK,ABA0013,SEKOLAH KEBANGSAAN BATU TUJUH,JALAN PAHANG,35000,TAPAH,54010735,54010735,ABA0013@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,41,466,,41,ADA,TIADA,101.318631,4.250268,
PERAK,PPD BATANG PADANG, TAPAH, AYER KUNING,Rendah,SK,ABA0014,SEKOLAH KEBANGSAAN JERAM MENGKUANG,"BATU 5, JERAM MENGKUANG",35500,BIDOR,54349887,TIADA,ABA0014@moe.edu.my,Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,22,90,,14,ADA,TIADA,101.2414126,4.067267615,YA
PERAK,PPD BATANG PADANG, TAPAH, AYER KUNING,Rendah,SK,ABA0015,SEKOLAH KEBANGSAAN SUNGAI LESONG,KG SUNGAI LESONG,31950,MAMBANG DI AWAN,54780468,54780468,ABA0015@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,44,251,,29,ADA,TIADA,101.1454794,4.231541228,
PERAK,PPD BATANG PADANG, TAPAH, AYER KUNING,Rendah,SK,ABA0016,SEKOLAH KEBANGSAAN AYER KUNING,AIR KUNING KAMPAR,31920,KAMPAR,54789326,54789326,ABA0016@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,34,156,25,24,ADA,ADA,101.1435608,4.194635174,
PERAK,PPD BATANG PADANG, TAPAH, AYER KUNING,Rendah,SK,ABA0017,SEKOLAH KEBANGSAAN BATU MASJID,KAMPONG BATU MASJID,35350,TEMOH,54010908,TIADA,ABA0017@moe.edu.my,Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,9,80,,14,ADA,TIADA,101.200528,4.226201,YA
PERAK,PPD BATANG PADANG, TANJONG MALIM, SUNGKAI,Rendah,SK,ABA0018,SEKOLAH KEBANGSAAN SUNGKAI,SUNGKAI,35600,SUNGKAI,54388434,54388434,ABA0018@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,50,477,37,46,ADA,ADA,101.3097114,3.995430141,
PERAK,PPD BATANG PADANG, TANJONG MALIM, BEHRANG,Rendah,SK,ABA0019,SEKOLAH KEBANGSAAN PERLOK,JALAN MENDERANG,35600,SUNGKAI,54386911,54386911,ABA0019@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,19,168,,18,ADA,TIADA,101.342328,4.010141999,
PERAK,PPD BATANG PADANG, TANJONG MALIM, SUNGKAI,Rendah,SK,ABA0020,SEKOLAH KEBANGSAAN BIKAM,KAMPUNG BIKAM,35600,SUNGKAI,54386179,54386179,ABA0020@moe.edu.my,Luar Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,20,101,,13,ADA,TIADA,101.2974278,4.044575075,YA
PERAK,PPD BATANG PADANG, TANJONG MALIM, SLIM,Rendah,SK,ABA0024,SEKOLAH KEBANGSAAN CHANGKAT SULAIMAN,KG.CHANGKAT SULAIMAN,35600,SUNGKAI,54389843,54389843,ABA0024@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,23,169,,17,ADA,TIADA,101.2955891,3.971203177,
PERAK,PPD BATANG PADANG, TANJONG MALIM, BEHRANG,Rendah,SK,ABA0031,SEKOLAH KEBANGSAAN FELDA SUNGAI KELAH,FELDA SUNGAI KELAH,35600,SUNGKAI,54388500,54388501,ABA0031@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,28,149,,20,ADA,TIADA,101.3698264,3.989146238,YA
PERAK,PPD BATANG PADANG, TAPAH, CHENDERIANG,Rendah,SK,ABA0034,SEKOLAH KEBANGSAAN BATU 14,JALAN PAHANG,35000,TAPAH,TIADA,TIADA,ABA0034@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,21,298,,28,ADA,TIADA,101.3273251,4.322611236,
PERAK,PPD BATANG PADANG, TANJONG MALIM, SLIM,Rendah,SK,ABA0035,SEKOLAH KEBANGSAAN BESOUT 3,FELDA GUNUNG BESOUT 3,35600,SUNGKAI,54312313,54312313,ABA0035@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,30,256,,29,ADA,TIADA,101.3003989,3.843797295,
PERAK,PPD BATANG PADANG, TANJONG MALIM, SLIM,Rendah,SK,ABA0110,SEKOLAH KEBANGSAAN TROLAK UTARA,FELDA TROLAK UTARA,35600,SUNGKAI,54323189,54321004,ABA0110@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,50,305,,31,ADA,TIADA,101.3585782,3.950507367,
PERAK,PPD BATANG PADANG, TANJONG MALIM, SLIM,Rendah,SK,ABA0118,SEKOLAH KEBANGSAAN TROLAK SELATAN,FELDA TROLAK SELATAN,35600,SUNGKAI,54323534,54322734,ABA0118@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,50,274,8,35,ADA,ADA,101.3867882,3.919545422,
PERAK,PPD BATANG PADANG, TANJONG MALIM, SLIM,Rendah,SK,ABA0120,SEKOLAH KEBANGSAAN SERI BESOUT,FELDA GUNUNG BESOUT 01,35600,SUNGKAI,54311819,54311819,ABA0120@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,75,400,26,46,ADA,ADA,101.286544,3.847763,
PERAK,PPD BATANG PADANG, TANJONG MALIM, SUNGKAI,Rendah,SK,ABA0125,SEKOLAH KEBANGSAAN POS GEDONG,PETI SURAT 20,35500,BIDOR,TIADA,TIADA,ABA0125@moe.edu.my,Luar Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,25,74,,13,ADA,TIADA,101.376862,4.170615,
PERAK,PPD BATANG PADANG, TANJONG MALIM, SUNGKAI,Rendah,SK,ABA0126,SEKOLAH KEBANGSAAN KAMPUNG SENTA,PETI SURAT 20,35500,BIDOR,TIADA,TIADA,ABA0126@moe.edu.my,Luar Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,14,74,,13,ADA,TIADA,101.330783,4.153609,
PERAK,PPD BATANG PADANG, TAPAH, CHENDERIANG,Rendah,SK,ABA0127,SEKOLAH KEBANGSAAN POS MUSUH LZ,PETI SURAT 51,35000,TAPAH,TIADA,TIADA,ABA0127@moe.edu.my,Luar Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,0,50,,12,TIADA,TIADA,101.4032176,4.264513896,
PERAK,PPD BATANG PADANG, TANJONG MALIM, BEHRANG,Rendah,K9,ABA0128,SEKOLAH KEBANGSAAN JERNANG,RPS JERNANG,35600,SUNGKAI,TIADA,TIADA,ABA0128@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,38,286,,27,ADA,TIADA,101.419363,4.051292,
PERAK,PPD BATANG PADANG, TAPAH, CHENDERIANG,Rendah,SK,ABA0129,SEKOLAH KEBANGSAAN TAPAH,JALAN BIDOR LAMA,35000,TAPAH,54016122,54016122,ABA0129@moe.edu.my,Bandar,C,SK,1 Sesi,Pagi Sahaja,31,135,,18,ADA,TIADA,101.2680084,4.181687397,YA
PERAK,PPD BATANG PADANG, TAPAH, AYER KUNING,Rendah,SK,ABA0130,SEKOLAH KEBANGSAAN BIDOR 2,JALAN TELUK INTAN,35500,BIDOR,54341216,54340926,ABA0130@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,75,545,63,52,ADA,ADA,101.2769547,4.117048112,
PERAK,PPD MANJUNG, BERUAS, PENGKALAN BAHARU,Rendah,SK,ABA1001,SEKOLAH KEBANGSAAN DENDANG,KAMPUNG DENDANG,32700,BERUAS,1165750536,1165750536,ABA1001@moe.edu.my,Luar Bandar,C,SK,1 Sesi,Pagi Sahaja,21,89,,16,ADA,TIADA,100.8154582,4.502661886,YA
PERAK,PPD MANJUNG, BERUAS, PENGKALAN BAHARU,Rendah,SK,ABA1002,SEKOLAH KEBANGSAAN BERUAS,JALAN PARIT,32700,BERUAS,56740696,56749009,ABA1002@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,34,210,,29,ADA,TIADA,100.786063,4.498995,
PERAK,PPD MANJUNG, BERUAS, PENGKALAN BAHARU,Rendah,SK,ABA1003,SEKOLAH KEBANGSAAN KAMPUNG KOTA,JALAN SITIAWAN,32700,BERUAS,56748048,56748048,ABA1003@moe.edu.my,Luar Bandar,C,SK,1 Sesi,Pagi Sahaja,19,109,,17,ADA,TIADA,100.7844878,4.479139195,YA
PERAK,PPD MANJUNG, BERUAS, PENGKALAN BAHARU,Rendah,SK,ABA1004,SEKOLAH KEBANGSAAN GELONG GAJAH,KAMPUNG  KEDAH,32700,BERUAS,56721145,56721145,ABA1004@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,21,230,10,29,ADA,ADA,100.7784159,4.411288575,
PERAK,PPD MANJUNG, BERUAS, PENGKALAN BAHARU,Rendah,SK,ABA1005,SEKOLAH KEBANGSAAN CHANGKAT CHERMIN,CHANGKAT CHERMIN,32400,AYER TAWAR,53765253,53765253,ABA1005@moe.edu.my,Bandar,C,SK,1 Sesi,Pagi Sahaja,15,124,,17,ADA,TIADA,100.817463,4.348482,YA
PERAK,PPD MANJUNG, BERUAS, PENGKALAN BAHARU,Rendah,SK,ABA1006,SEKOLAH KEBANGSAAN AYER TAWAR,JALAN AYER TAWAR PANTAI REMIS,32400,AYER TAWAR,56724248,56724248,ABA1006@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,26,284,29,36,ADA,ADA,100.7730772,4.322562454,
PERAK,PPD MANJUNG, BERUAS, PENGKALAN BAHARU,Rendah,SK,ABA1007,SEKOLAH KEBANGSAAN PANCHOR,JALAN PANTAI REMIS TAIPING,34900,PANTAI REMIS,56775795,56773528,ABA1007@moe.edu.my,Luar Bandar,C,SK,1 Sesi,Pagi Sahaja,25,126,,18,ADA,TIADA,100.65083,4.51905,YA
PERAK,PPD MANJUNG, BERUAS, PENGKALAN BAHARU,Rendah,SK,ABA1008,SEKOLAH KEBANGSAAN PENGKALAN BAHARU,PENGKALAN BAHARU,34900,PANTAI REMIS,56775595,56775595,ABA1008@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,25,287,33,41,ADA,ADA,100.634395,4.478546,
PERAK,PPD MANJUNG, BERUAS, PANTAI REMIS,Rendah,SK,ABA1009,SEKOLAH KEBANGSAAN SUNGAI BATU,KAMPUNG SUNGAI BATU,34900,PANTAI REMIS,56774660,56777529,ABA1009@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,25,306,,27,ADA,TIADA,100.6254004,4.434292794,
PERAK,PPD MANJUNG, BERUAS, PENGKALAN BAHARU,Rendah,SK,ABA1010,SEKOLAH KEBANGSAAN LADANG HUNTLY,LADANG HUNTLY,32500,CHANGKAT KERUING,TIADA,TIADA,ABA1010@moe.edu.my,Luar Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,15,66,,14,ADA,TIADA,100.6946224,4.415320157,YA
PERAK,PPD MANJUNG, BERUAS, PANTAI REMIS,Rendah,SK,ABA1011,SEKOLAH KEBANGSAAN SEGARI,JALAN PANTAI REMIS DAMAR LAUT,32200,LUMUT,56774473,TIADA,ABA1011@moe.edu.my,Luar Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,13,87,,16,ADA,TIADA,100.6253635,4.350092939,YA
PERAK,PPD MANJUNG, LUMUT, PANGKOR,Rendah,SK,ABA1012,SEKOLAH KEBANGSAAN NAKHODA MUHAMMAD TAIB,BATU 3 SEGARI,32200,LUMUT,56777151,56777151,ABA1012@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,69,341,,28,ADA,TIADA,100.624957,4.278504,
PERAK,PPD MANJUNG, BERUAS, PANTAI REMIS,Rendah,SK,ABA1013,SEKOLAH KEBANGSAAN SUNGAI RAMAI,KG. SUNGAI RAMAI,32400,AYER TAWAR,TIADA,TIADA,ABA1013@moe.edu.my,Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,0,36,,11,TIADA,TIADA,100.7207129,4.308667511,YA
PERAK,PPD MANJUNG, LUMUT, PASIR PANJANG,Rendah,SK,ABA1014,SEKOLAH KEBANGSAAN SUNGAI WANGI,JALAN BRUAS,32400,AYER TAWAR,56919924,TIADA,ABA1014@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,48,468,39,41,ADA,ADA,100.727487,4.26068,
PERAK,PPD MANJUNG, BERUAS, ASTAKA,Rendah,SK,ABA1015,SEKOLAH KEBANGSAAN SERI SELAMAT,LORONG SELAMAT,32000,SITIAWAN,56922495,56926143,ABA1015@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,54,441,36,42,ADA,ADA,100.700283,4.213717345,
PERAK,PPD MANJUNG, LUMUT, PASIR PANJANG,Rendah,SK,ABA1016,SEKOLAH KEBANGSAAN SITIAWAN,KAMPONG SITIAWAN,32000,SITIAWAN,56923754,56923754,ABA1016@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,25,431,27,38,ADA,ADA,100.6899547,4.237376909,
PERAK,PPD MANJUNG, LUMUT, PASIR PANJANG,Rendah,SK,ABA1017,SEKOLAH KEBANGSAAN LEKIR,BATU 8,32020,SITIAWAN,56792764,56792764,ABA1017@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,0,447,40,39,TIADA,ADA,100.7211418,4.147191074,
PERAK,PPD MANJUNG, LUMUT, PASIR PANJANG,Rendah,SK,ABA1018,SEKOLAH KEBANGSAAN MUHAMMAD SAMAN,PASIR PANJANG LAUT,32040,SERI MANJUNG,56939610,56939611,ABA1018@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,50,438,,32,ADA,TIADA,100.689698,4.169197,
PERAK,PPD MANJUNG, LUMUT, PASIR PANJANG,Rendah,SK,ABA1019,SEKOLAH KEBANGSAAN BATU SEPULUH,LEKIR,32020,SITIAWAN,56791206,,ABA1019@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,0,530,,41,TIADA,TIADA,100.7585898,4.127147548,
PERAK,PPD MANJUNG, LUMUT, PASIR PANJANG,Rendah,SK,ABA1020,SEKOLAH KEBANGSAAN SUNGAI TIRAM,SUNGAI TIRAM,32020,SITIAWAN,1165750543,TIADA,ABA1020@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,50,268,,25,ADA,TIADA,100.76602,4.10763,
PERAK,PPD MANJUNG, LUMUT, PANGKOR,Rendah,SK,ABA1021,SEKOLAH KEBANGSAAN DATO' ISHAK,"KAMPUNG PADANG TEMBAK, TELUK MUROK",32200,LUMUT,56835440,56834332,ABA1021@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,43,437,,33,ADA,TIADA,100.620306,4.208738,
PERAK,PPD MANJUNG, LUMUT, PANGKOR,Rendah,SK,ABA1022,SEKOLAH KEBANGSAAN LUMUT,JLN ISKANDAR SHAH,32200,LUMUT,56835322,56835322,ABA1022@moe.edu.my,Luar Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,19,105,,14,ADA,TIADA,100.627343,4.230752,YA
PERAK,PPD MANJUNG, LUMUT, PANGKOR,Rendah,SK,ABA1023,SEKOLAH KEBANGSAAN SERI PANGKOR,JALAN PASIR BOGAK,32300,PANGKOR,56851193,56855911,ABA1023@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,38,402,16,44,ADA,ADA,100.572868,4.211426,
PERAK,PPD MANJUNG, LUMUT, PASIR PANJANG,Rendah,SK,ABA1024,SEKOLAH KEBANGSAAN TELAGA NENAS,KG TELAGA NANAS,32400,AYER TAWAR,1165750556,,ABA1024@moe.edu.my,Luar Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,15,52,,14,ADA,TIADA,100.6662925,4.324030229,YA
PERAK,PPD MANJUNG, LUMUT, PASIR PANJANG,Rendah,SK,ABA1025,SEKOLAH KEBANGSAAN KAMPUNG BAHARU,KAMPONG BAHARU (L),32400,AYER TAWAR,56915975,56915975,ABA1025@moe.edu.my,Luar Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,0,126,,13,TIADA,TIADA,100.6707639,4.293653037,YA
PERAK,PPD MANJUNG, LUMUT, PASIR PANJANG,Rendah,SK,ABA1026,SEKOLAH KEBANGSAAN KAYAN,JALAN TELUK INTAN - SITIAWAN,32030,SITIAWAN,56792712,56792712,ABA1026@moe.edu.my,Luar Bandar,C,SK,1 Sesi,Pagi Sahaja,21,99,,17,ADA,TIADA,100.7979298,4.045690023,YA
PERAK,PPD MANJUNG, LUMUT, PANGKOR,Rendah,SK,ABA1027,SEKOLAH KEBANGSAAN PANGKALAN TLDM,PANGKALAN TLDM,32100,LUMUT,56835890,56838527,ABA1027@moe.edu.my,Bandar,A,SK,2 Sesi,Pagi dan Petang,49,758,,88,ADA,TIADA,100.617393,4.214277,
PERAK,PPD MANJUNG, LUMUT, PASIR PANJANG,Rendah,SK,ABA1028,SEKOLAH KEBANGSAAN SERI MANJUNG,BANDAR BARU SERI MANJUNG,32040,SERI MANJUNG,56881014,56889855,ABA1028@moe.edu.my,Bandar,A,SK,2 Sesi,Pagi dan Petang,124,1406,,111,ADA,TIADA,100.662883,4.188247,
PERAK,PPD MANJUNG, BERUAS, PANTAI REMIS,Rendah,SK,ABA1029,SEKOLAH KEBANGSAAN PANTAI REMIS,JALAN RUMAH MURAH,34900,PANTAI REMIS,56774375,56777586,ABA1029@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,42,249,,30,ADA,TIADA,100.6316939,4.450634824,
PERAK,PPD MANJUNG, LUMUT, PASIR PANJANG,Rendah,SK,ABA1030,SEKOLAH KEBANGSAAN GUGUSAN LEKIR,FELCRA GUGUSAN LEKIR,32000,SITIAWAN,56923687,56926126,ABA1030@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,50,445,16,35,ADA,ADA,100.756213,4.196446,
PERAK,PPD MANJUNG, LUMUT, PANGKOR,Rendah,SK,ABA1031,SEKOLAH KEBANGSAAN PANGKALAN TLDM II,PANGKALAN TLDM,32100,LUMUT,56834914,56838079,ABA1031@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,53,677,44,63,ADA,ADA,100.619134,4.215815,
PERAK,PPD MANJUNG, LUMUT, PASIR PANJANG,Rendah,SK,ABA1032,SEKOLAH KEBANGSAAN KPG. DATO' SERI KAMARUDDIN,KPG DATO' SERI KAMARUDDIN,32040,SERI MANJUNG,56886616,56886616,ABA1032@moe.edu.my,Bandar,A,SK,2 Sesi,Pagi dan Petang,75,869,46,77,ADA,ADA,100.6499159,4.182197003,
PERAK,PPD MANJUNG, LUMUT, PASIR PANJANG,Rendah,SK,ABA1033,SEKOLAH KEBANGSAAN SERI SITIAWAN,MANJUNG RAYA,32040,SERI MANJUNG,56882087,56882326,ABA1033@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,73,752,56,61,ADA,ADA,100.6570458,4.208274391,
PERAK,PPD MANJUNG, LUMUT, PASIR PANJANG,Rendah,SK,ABA1034,SEKOLAH KEBANGSAAN SERI BAYU,PETI SURAT 26 KOMPLEKS SEKOLAH WAWASAN MANJUNG,32040,SERI MANJUNG,56888950,56883866,ABA1034@moe.edu.my,Bandar,A,SK,1 Sesi,Pagi Sahaja,107,927,77,86,ADA,ADA,100.6527549,4.199914098,
PERAK,PPD MANJUNG, LUMUT, PASIR PANJANG,Rendah,SK,ABA1035,SEKOLAH KEBANGSAAN SERI SAMUDERA,MANJUNG RAYA,32040,SERI MANJUNG,56881909,56883703,ABA1035@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,50,708,,42,ADA,TIADA,100.6607305,4.208649784,
PERAK,PPD KINTA UTARA, GOPENG, TEJA,Rendah,SK,ABA2001,SEKOLAH KEBANGSAAN SUNGAI RAYA,"JLN. RAJA DR. NAZRIN SHAH, KAMPONG KEPAYANG",31300,KG. KEPAYANG,53571660,53571660,ABA2001@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,50,434,,35,ADA,TIADA,101.1335844,4.519880705,
PERAK,PPD KINTA UTARA, GOPENG, SUNGAI RAPAT,Rendah,SK,ABA2002,SEKOLAH KEBANGSAAN SUNGAI RAPAT,JALAN RAJA ABDULLAH ,31350,IPOH ,53123528,53123528,ABA2002@moe.edu.my,Bandar,B,SK,2 Sesi,Pagi dan Petang,25,554,,48,ADA,TIADA,101.108199,4.573474,
PERAK,PPD KINTA UTARA, GOPENG, SUNGAI RAPAT,Rendah,SK,ABA2003,SEKOLAH KEBANGSAAN SUNGAI ROKAM,JALAN KENANGA,31350,IPOH,53121890,53115806,ABA2003@moe.edu.my,Bandar,B,SK,2 Sesi,Pagi dan Petang,83,606,106,76,ADA,ADA,101.114984,4.577717,
PERAK,PPD KINTA UTARA, TAMBUN, HULU KINTA,Rendah,SK,ABA2004,SEKOLAH KEBANGSAAN TAMBUN,JALAN AMPANG,31400,IPOH,55469261,55499086,ABA2004@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,50,624,72,64,ADA,ADA,101.140922,4.60805,
PERAK,PPD KINTA UTARA, TAMBUN, HULU KINTA,Rendah,SK,ABA2005,SEKOLAH KEBANGSAAN TANJONG RAMBUTAN,JALAN STESEN,31250,TANJONG RAMBUTAN,55332950,55330751,ABA2005@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,75,778,,56,ADA,TIADA,101.1556185,4.666795524,
PERAK,PPD KINTA UTARA, IPOH BARAT, BERCHAM,Rendah,SK,ABA2006,SEKOLAH KEBANGSAAN TASEK,JALAN SULTAN AZLAN SHAH UTARA,31400,IPOH,55464913,55464913,ABA2006@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,48,211,,22,ADA,TIADA,101.1143016,4.638455769,
PERAK,PPD KINTA UTARA, TAMBUN, MANJOI,Rendah,SK,ABA2007,SEKOLAH KEBANGSAAN CHEPOR,JALAN JELAPANG,31200,CHEMOR,52017246,52012135,ABA2007@moe.edu.my,Bandar,A,SK,2 Sesi,Pagi dan Petang,50,914,63,69,ADA,ADA,101.0863176,4.683860296,
PERAK,PPD KINTA UTARA, TAMBUN, MANJOI,Rendah,SK,ABA2008,SEKOLAH KEBANGSAAN HAJI MAHMUD,JALAN SEKOLAH,31200,CHEMOR,52011534,52018980,ABA2008@moe.edu.my,Bandar,A,SK,2 Sesi,Pagi dan Petang,0,1041,,67,TIADA,TIADA,101.1202054,4.720517799,
